type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,Switch,transition
task,179.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,180.0,0,317.0,0,"(1, 0)",001,395.0,2,"(2, 3)",1.0,common
task,181.0,1,249.0,0,"(0, 1)",001,409.0,2,"(3, 2)",0.0,common
task,182.0,0,246.0,0,"(1, 0)",001,452.0,2,"(2, 3)",0.0,common
task,183.0,0,214.0,1,"(0, 1)",001,459.0,3,"(3, 2)",1.0,rare
task,184.0,1,175.0,1,"(1, 0)",001,473.0,3,"(2, 3)",0.0,rare
task,185.0,0,237.0,0,"(1, 0)",001,327.0,3,"(3, 2)",1.0,common
task,186.0,0,362.0,0,"(1, 0)",001,507.0,4,"(4, 5)",0.0,rare
task,187.0,1,329.0,1,"(1, 0)",001,398.0,4,"(5, 4)",1.0,common
task,188.0,0,318.0,0,"(0, 1)",001,274.0,5,"(4, 5)",1.0,rare
task,189.0,0,234.0,0,"(0, 1)",001,334.0,5,"(4, 5)",0.0,rare
task,190.0,1,319.0,1,"(1, 0)",001,403.0,4,"(5, 4)",1.0,common
task,191.0,0,250.0,1,"(1, 0)",001,336.0,5,"(4, 5)",0.0,common
task,192.0,1,263.0,1,"(0, 1)",001,286.0,5,"(5, 4)",0.0,common
task,193.0,1,341.0,0,"(0, 1)",001,317.0,5,"(4, 5)",1.0,rare
task,194.0,0,373.0,0,"(1, 0)",001,247.0,5,"(5, 4)",0.0,rare
task,195.0,1,230.0,0,"(0, 1)",001,243.0,3,"(3, 2)",0.0,common
task,196.0,0,296.0,0,"(1, 0)",001,342.0,3,"(3, 2)",0.0,common
task,197.0,0,240.0,0,"(0, 1)",001,428.0,3,"(2, 3)",0.0,common
task,198.0,0,261.0,0,"(0, 1)",001,455.0,2,"(3, 2)",0.0,common
task,199.0,0,207.0,1,"(1, 0)",001,674.0,3,"(2, 3)",1.0,rare
